cluster_n,new_tag
0,Simulation-Based
1,Public Sector
2,Military Strategy
3,Mastermind
4,Strategy RPG
5,Strategy
6,Master Strategy
7,Maritime Related
8,Wargaming
9,Adventure Sports
10,Retro Fashion
11,Fantasy Action Games
12,Outdoors & Wildlife
13,Humor
14,Linguistics
15,Gaming
16,Funding_Options
17,Sports
18,Sports
19,Social Lifestyle
20,Social
21,Martial Arts Fantasy
22,Audio Innovation
23,Virtual Reality
24,Rural Economy
25,Emotional
26,Infrastructure
27,Emerging Technologies
28,Industrial Simulation
29,Entertainment
30,Vehicles
31,Racing
32,Avant-Garde Dark Fiction
33,Action
34,Media Production
35,Computer Graphics & Development
36,Whimsical Humor
37,Illustrative/Theoretical
38,Action
39,Classic Platformer
40,Retro Action Challenge
41,Action
42,Virtual Worlds
43,Roguelike
44,Action
45,Technology
46,Extremely Fun
47,Epic Quest
48,Horror
49,Mature Content
50,Immersive Action
51,Post-Apocalyptic
52,Exploration-based Survival
53,Entertainment
54,Gaming Community
55,Local Multiplayer
56,Narrative Design
57,Romance Interactive Fiction
58,Mature
